mindate,maxdate,name,datacoverage,id
2019-03-21,2021-04-20,"West Warren, MA 01092",0.9738,ZIP:01092
2011-08-28,2021-04-18,"Wilbraham, MA 01095",0.7926,ZIP:01095
2014-03-26,2021-04-20,"Williamsburg, MA 01096",0.9214,ZIP:01096
1948-06-01,2021-04-16,"Springfield, MA 01104",1.0,ZIP:01104
2015-03-08,2021-04-20,"Springfield, MA 01107",0.9794,ZIP:01107
2017-10-13,2021-04-16,"Indian Orchard, MA 01151",1.0,ZIP:01151
1894-02-10,2021-04-19,"Pittsfield, MA 01201",1.0,ZIP:01201
2019-11-04,2021-04-20,"Cheshire, MA 01225",1.0,ZIP:01225
1885-01-01,2021-04-18,"Dalton, MA 01226",1.0,ZIP:01226
1957-05-15,2021-04-20,"Great Barrington, MA 01230",1.0,ZIP:01230
1921-08-01,2021-04-20,"Lee, MA 01238",0.7971,ZIP:01238
1891-01-07,2021-04-19,"North Adams, MA 01247",1.0,ZIP:01247
1979-01-01,2021-04-20,"Sheffield, MA 01257",1.0,ZIP:01257
1929-12-01,2021-04-20,"Stockbridge, MA 01262",1.0,ZIP:01262
1885-01-01,2021-04-18,"Williamstown, MA 01267",1.0,ZIP:01267
1929-03-01,2021-04-20,"Greenfield, MA 01301",1.0,ZIP:01301
2020-07-14,2021-04-20,"Bernardston, MA 01337",0.9893,ZIP:01337
1893-01-01,2021-04-20,"Charlemont, MA 01339",1.0,ZIP:01339
1948-06-01,2021-04-20,"Colrain, MA 01340",1.0,ZIP:01340
2013-09-28,2021-04-20,"Conway, MA 01341",1.0,ZIP:01341
2017-03-16,2021-04-20,"Millers Falls, MA 01349",0.7669,ZIP:01349
1897-03-01,2021-04-15,"New Salem, MA 01355",1.0,ZIP:01355
1996-07-01,2021-04-19,"Orange, MA 01364",0.9958,ZIP:01364
1884-11-04,2021-04-20,"Rowe, MA 01367",1.0,ZIP:01367
1892-06-01,2021-04-20,"Royalston, MA 01368",1.0,ZIP:01368
1930-05-01,2021-04-20,"Shelburne Falls, MA 01370",1.0,ZIP:01370
1978-04-01,2021-04-20,"Sunderland, MA 01375",1.0,ZIP:01375
1893-01-01,2021-04-20,"Fitchburg, MA 01420",0.9971,ZIP:01420
1906-08-01,2021-04-20,"Ashburnham, MA 01430",1.0,ZIP:01430
1945-03-01,2021-04-20,"Ayer, MA 01432",1.0,ZIP:01432
1893-08-01,2021-04-19,"Gardner, MA 01440",1.0,ZIP:01440
1893-01-01,2021-04-17,"Groton, MA 01450",1.0,ZIP:01450
2016-12-29,2021-04-20,"Harvard, MA 01451",0.9161,ZIP:01451
1896-08-01,2021-04-20,"Littleton, MA 01460",0.9551,ZIP:01460
1948-06-01,2021-04-20,"Lunenburg, MA 01462",0.9938,ZIP:01462
1955-11-10,2021-04-18,"Pepperell, MA 01463",1.0,ZIP:01463
2013-08-08,2021-04-20,"Townsend, MA 01469",1.0,ZIP:01469
2016-05-11,2021-04-20,"Westminster, MA 01473",0.9751,ZIP:01473
2009-03-22,2021-04-20,"West Townsend, MA 01474",1.0,ZIP:01474
1893-08-01,2021-04-17,"Winchendon, MA 01475",1.0,ZIP:01475
2016-03-29,2021-04-20,"Auburn, MA 01501",0.9757,ZIP:01501
2014-04-11,2021-04-18,"Berlin, MA 01503",0.9665,ZIP:01503
1951-09-01,2021-04-20,"Charlton, MA 01507",1.0,ZIP:01507
1962-06-01,2021-04-19,"Fiskdale, MA 01518",0.9475,ZIP:01518
2015-04-21,2021-04-20,"Grafton, MA 01519",1.0,ZIP:01519
1896-02-01,2021-04-19,"Leicester, MA 01524",1.0,ZIP:01524
2012-01-12,2021-04-20,"Northborough, MA 01532",0.9463,ZIP:01532
2018-03-31,2021-04-18,"Northbridge, MA 01534",0.8063,ZIP:01534
1959-05-01,2021-04-19,"Oxford, MA 01540",1.0,ZIP:01540
1893-03-01,2021-04-18,"Rutland, MA 01543",1.0,ZIP:01543
2015-01-20,2021-04-17,"Shrewsbury, MA 01545",1.0,ZIP:01545
2008-07-01,2021-04-20,"Southbridge, MA 01550",0.9574,ZIP:01550
1896-01-01,2021-04-20,"Sterling, MA 01564",1.0,ZIP:01564
1926-03-01,2021-04-19,"Whitinsville, MA 01588",1.0,ZIP:01588
1923-01-01,2021-04-20,"Worcester, MA 01602",1.0,ZIP:01602
1892-01-01,2021-04-18,"Worcester, MA 01604",1.0,ZIP:01604
2016-04-01,2021-04-20,"Cherry Valley, MA 01611",1.0,ZIP:01611
1885-01-01,2021-04-19,"Framingham, MA 01701",1.0,ZIP:01701
2010-08-23,2021-04-20,"Acton, MA 01720",1.0,ZIP:01720
1949-01-01,2021-04-19,"Hanscom AFB, MA 01731",1.0,ZIP:01731
1924-04-18,2021-04-20,"Holliston, MA 01746",1.0,ZIP:01746
2018-03-29,2021-04-20,"Hudson, MA 01749",0.958,ZIP:01749
1963-07-08,2021-04-20,"Maynard, MA 01754",0.9813,ZIP:01754
1885-01-01,2021-04-20,"Milford, MA 01757",1.0,ZIP:01757
1885-04-01,2021-04-20,"Natick, MA 01760",1.0,ZIP:01760
2016-07-05,2021-04-17,"Sherborn, MA 01770",0.9778,ZIP:01770
1893-04-01,2021-04-20,"Lincoln, MA 01773",0.9662,ZIP:01773
2017-03-25,2021-04-20,"Sudbury, MA 01776",1.0,ZIP:01776
1890-01-01,2021-04-20,"Andover, MA 01810",1.0,ZIP:01810
1893-01-01,2021-04-20,"Chelmsford, MA 01824",1.0,ZIP:01824
1899-11-01,2021-04-20,"Haverhill, MA 01830",1.0,ZIP:01830
2018-04-16,2021-04-19,"Georgetown, MA 01833",0.8173,ZIP:01833
2007-10-16,2021-04-19,"Groveland, MA 01834",1.0,ZIP:01834
1893-01-01,2021-04-09,"Lawrence, MA 01843",1.0,ZIP:01843
1997-06-08,2021-04-20,"North Andover, MA 01845",1.0,ZIP:01845
1885-08-01,2021-04-20,"Lowell, MA 01854",0.8565,ZIP:01854
2008-02-27,2021-04-20,"Reading, MA 01867",0.9927,ZIP:01867
2018-09-18,2021-04-19,"Tewksbury, MA 01876",0.9905,ZIP:01876
1890-01-01,2021-04-18,"Wakefield, MA 01880",1.0,ZIP:01880
2017-05-13,2021-04-19,"Westford, MA 01886",0.7552,ZIP:01886
2014-10-08,2021-04-19,"Wilmington, MA 01887",0.9927,ZIP:01887
2009-06-21,2021-04-19,"Winchester, MA 01890",0.9273,ZIP:01890
1888-06-01,2021-04-20,"Nahant, MA 01908",0.8824,ZIP:01908
1987-08-01,2021-04-20,"Amesbury, MA 01913",1.0,ZIP:01913
1885-06-01,2021-04-20,"Beverly, MA 01915",1.0,ZIP:01915
2011-09-16,2021-04-20,"Boxford, MA 01921",0.4198,ZIP:01921
1998-12-05,2021-04-20,"Danvers, MA 01923",1.0,ZIP:01923
1930-04-01,2021-04-18,"Gloucester, MA 01930",1.0,ZIP:01930
1984-09-01,2021-04-18,"Marblehead, MA 01945",1.0,ZIP:01945
1925-11-28,2021-04-20,"Middleton, MA 01949",1.0,ZIP:01949
1893-01-01,2021-04-20,"Newburyport, MA 01950",1.0,ZIP:01950
1946-11-01,2021-04-20,"Rockport, MA 01966",0.9606,ZIP:01966
2015-04-02,2021-04-20,"West Newbury, MA 01985",1.0,ZIP:01985
2015-06-07,2021-04-20,"Bellingham, MA 02019",1.0,ZIP:02019
1885-01-06,2021-04-20,"Foxboro, MA 02035",1.0,ZIP:02035
1926-03-01,2021-04-20,"Franklin, MA 02038",1.0,ZIP:02038
1885-10-01,2021-04-20,"Hingham, MA 02043",1.0,ZIP:02043
1893-01-02,2021-04-20,"Mansfield, MA 02048",0.9991,ZIP:02048
2014-06-23,2021-04-20,"Marshfield, MA 02050",0.892,ZIP:02050
2013-11-10,2021-04-20,"Millis, MA 02054",0.9404,ZIP:02054
1931-04-01,2021-04-20,"Norwood, MA 02062",1.0,ZIP:02062
1886-02-03,2021-04-18,"Stoughton, MA 02072",0.9206,ZIP:02072
1948-10-01,2021-04-20,"Walpole, MA 02081",1.0,ZIP:02081
2009-02-26,2021-04-10,"Boston, MA 02108",0.3455,ZIP:02108
1936-01-01,2021-04-20,"Boston, MA 02128",1.0,ZIP:02128
1962-09-01,2021-04-20,"Jamaica Plain, MA 02130",1.0,ZIP:02130
1931-01-01,2021-04-17,"Cambridge, MA 02139",0.9961,ZIP:02139
1901-11-01,2021-04-20,"Cambridge, MA 02140",1.0,ZIP:02140
1890-01-01,2021-04-19,"Somerville, MA 02143",1.0,ZIP:02143
2015-06-21,2021-04-18,"Chelsea, MA 02150",0.9775,ZIP:02150
1885-01-01,2021-04-20,"Medford, MA 02155",1.0,ZIP:02155
2013-08-02,2021-04-20,"Quincy, MA 02169",1.0,ZIP:02169
2019-10-17,2021-04-15,"Quincy, MA 02170",0.9269,ZIP:02170
1885-03-01,2021-04-20,"Melrose, MA 02176",1.0,ZIP:02176
1885-05-01,2021-04-20,"Milton, MA 02186",1.0,ZIP:02186
2018-03-12,2021-04-20,"North Weymouth, MA 02191",1.0,ZIP:02191
1894-01-01,2021-04-17,"Brockton, MA 02301",1.0,ZIP:02301
1948-06-01,2021-04-20,"Bridgewater, MA 02324",1.0,ZIP:02324
2016-10-10,2021-04-20,"Duxbury, MA 02332",0.7769,ZIP:02332
2013-03-22,2021-04-20,"East Bridgewater, MA 02333",0.9361,ZIP:02333
1919-05-09,2021-04-20,"Hanson, MA 02341",1.0,ZIP:02341
1893-01-01,2021-04-20,"Middleboro, MA 02346",0.8285,ZIP:02346
2014-11-27,2021-04-20,"Abington, MA 02351",0.926,ZIP:02351
2015-09-30,2021-04-20,"Pembroke, MA 02359",0.9955,ZIP:02359
1966-04-01,2021-04-20,"Plymouth, MA 02360",1.0,ZIP:02360
1893-01-01,2021-04-20,"Kingston, MA 02364",1.0,ZIP:02364
2015-05-19,2021-04-19,"Plympton, MA 02367",1.0,ZIP:02367
1951-03-01,2021-04-20,"Lexington, MA 02420",1.0,ZIP:02420
1893-04-01,2021-04-20,"Lexington, MA 02421",1.0,ZIP:02421
2016-04-11,2021-04-20,"West Newton, MA 02465",0.4608,ZIP:02465
2018-05-03,2021-04-18,"Watertown, MA 02472",0.9908,ZIP:02472
1927-01-01,2021-04-19,"Arlington, MA 02476",1.0,ZIP:02476
2011-03-28,2021-04-20,"Belmont, MA 02478",0.5411,ZIP:02478
1948-06-01,2021-04-20,"East Falmouth, MA 02536",1.0,ZIP:02536
2009-04-12,2021-04-20,"East Sandwich, MA 02537",1.0,ZIP:02537
1946-03-01,2021-04-20,"Edgartown, MA 02539",1.0,ZIP:02539
1976-05-01,2021-04-20,"Falmouth, MA 02540",1.0,ZIP:02540
1964-06-01,2021-04-16,"Woods Hole, MA 02543",1.0,ZIP:02543
1948-01-01,2021-04-19,"Nantucket, MA 02554",1.0,ZIP:02554
2011-02-01,2021-04-20,"North Falmouth, MA 02556",0.9126,ZIP:02556
1945-10-01,2021-04-20,"Sandwich, MA 02563",0.974,ZIP:02563
1998-01-01,2021-04-20,"Vineyard Haven, MA 02568",1.0,ZIP:02568
1893-01-01,2021-04-20,"Hyannis, MA 02601",1.0,ZIP:02601
2018-11-25,2021-04-20,"Barnstable, MA 02630",0.992,ZIP:02630
1889-01-01,2021-04-20,"Brewster, MA 02631",1.0,ZIP:02631
1972-08-01,2021-04-20,"Chatham, MA 02633",1.0,ZIP:02633
2012-07-31,2021-04-20,"Eastham, MA 02642",1.0,ZIP:02642
1964-01-01,2021-04-20,"Mashpee, MA 02649",1.0,ZIP:02649
2011-03-04,2021-04-20,"Orleans, MA 02653",1.0,ZIP:02653
1892-08-04,2021-04-20,"South Dennis, MA 02660",0.996,ZIP:02660
2009-02-27,2021-04-20,"South Yarmouth, MA 02664",0.9303,ZIP:02664
2003-04-01,2021-04-20,"Truro, MA 02666",1.0,ZIP:02666
1963-07-01,2021-04-20,"Wellfleet, MA 02667",1.0,ZIP:02667
2017-04-02,2021-04-20,"West Barnstable, MA 02668",0.9986,ZIP:02668
2016-10-26,2021-04-20,"West Harwich, MA 02671",1.0,ZIP:02671
1948-06-01,2021-04-20,"West Yarmouth, MA 02673",0.9816,ZIP:02673
2011-09-02,2021-04-20,"Yarmouth Port, MA 02675",0.423,ZIP:02675
1893-01-01,2021-04-20,"Attleboro, MA 02703",1.0,ZIP:02703
1941-05-27,2021-04-19,"Dighton, MA 02715",1.0,ZIP:02715
1951-10-01,2021-04-20,"East Freetown, MA 02717",1.0,ZIP:02717
1997-12-01,2021-04-19,"East Taunton, MA 02718",0.9977,ZIP:02718
1894-01-01,2021-04-19,"Somerset, MA 02726",1.0,ZIP:02726
1996-07-01,2021-04-20,"New Bedford, MA 02745",0.999,ZIP:02745
2013-01-14,2021-04-20,"South Dartmouth, MA 02748",0.999,ZIP:02748
2019-03-18,2021-04-20,"North Dighton, MA 02764",1.0,ZIP:02764
1913-04-01,2021-04-20,"Norton, MA 02766",1.0,ZIP:02766
2009-02-27,2021-04-20,"Rehoboth, MA 02769",0.6116,ZIP:02769
2011-04-04,2021-04-14,"Swansea, MA 02777",0.9964,ZIP:02777
1884-11-01,2021-04-20,"Taunton, MA 02780",1.0,ZIP:02780
2016-10-01,2021-04-18,"Westport, MA 02790",1.0,ZIP:02790
2017-04-17,2021-04-20,"Barrington, RI 02806",0.9666,ZIP:02806
1927-12-02,2021-04-18,"Block Island, RI 02807",1.0,ZIP:02807
1896-05-01,2021-04-20,"Bristol, RI 02809",0.9472,ZIP:02809
2019-04-07,2021-04-20,"Carolina, RI 02812",0.8577,ZIP:02812
1947-02-01,2021-04-20,"Charlestown, RI 02813",1.0,ZIP:02813
2008-04-01,2021-04-20,"Coventry, RI 02816",1.0,ZIP:02816
2008-04-29,2021-04-20,"East Greenwich, RI 02818",0.966,ZIP:02818
2016-04-10,2021-04-19,"Exeter, RI 02822",0.879,ZIP:02822
1974-10-01,2021-04-20,"Foster, RI 02825",1.0,ZIP:02825
1910-01-01,2021-04-20,"Greene, RI 02827",1.0,ZIP:02827
1943-11-01,2021-04-18,"Greenville, RI 02828",1.0,ZIP:02828
1910-01-01,2021-04-19,"Hope Valley, RI 02832",1.0,ZIP:02832
2008-04-25,2021-04-20,"Jamestown, RI 02835",1.0,ZIP:02835
2008-05-13,2021-04-20,"Little Compton, RI 02837",1.0,ZIP:02837
2009-03-16,2021-04-20,"Manville, RI 02838",0.9728,ZIP:02838
2016-10-11,2021-04-19,"Mapleville, RI 02839",1.0,ZIP:02839
1948-10-01,2021-04-20,"Newport, RI 02840",1.0,ZIP:02840
1893-01-01,2021-04-19,"Middletown, RI 02842",1.0,ZIP:02842
2008-04-18,2021-04-20,"North Kingstown, RI 02852",1.0,ZIP:02852
2008-04-01,2021-04-20,"Cumberland, RI 02864",1.0,ZIP:02864
1900-04-01,2021-04-20,"Portsmouth, RI 02871",1.0,ZIP:02871
1938-04-01,2021-04-20,"Saunderstown, RI 02874",1.0,ZIP:02874
1991-07-01,2021-04-20,"Tiverton, RI 02878",1.0,ZIP:02878
2013-09-16,2021-04-20,"Wakefield, RI 02879",1.0,ZIP:02879
1893-01-01,2021-04-20,"Kingston, RI 02881",1.0,ZIP:02881
1995-09-01,2021-04-20,"Warwick, RI 02886",1.0,ZIP:02886
1942-08-01,2021-04-18,"Warwick, RI 02888",1.0,ZIP:02888
2020-03-11,2021-04-20,"Warwick, RI 02889",1.0,ZIP:02889
1944-09-01,2021-04-20,"Westerly, RI 02891",1.0,ZIP:02891
2001-12-17,2021-04-19,"West Kingston, RI 02892",1.0,ZIP:02892
1938-04-01,2021-04-18,"Wood River Junction, RI 02894",0.9836,ZIP:02894
1948-07-01,2021-04-19,"Woonsocket, RI 02895",1.0,ZIP:02895
2016-06-18,2021-04-20,"North Smithfield, RI 02896",0.9945,ZIP:02896
2018-02-18,2021-04-20,"Wyoming, RI 02898",0.9965,ZIP:02898
2008-04-23,2021-04-20,"Providence, RI 02904",0.706,ZIP:02904
2009-06-01,2021-04-20,"Providence, RI 02905",0.982,ZIP:02905
1893-01-01,2021-04-20,"Providence, RI 02906",1.0,ZIP:02906
1893-01-01,2021-04-20,"Providence, RI 02908",1.0,ZIP:02908
2013-08-02,2021-04-17,"Riverside, RI 02915",0.9181,ZIP:02915
2018-03-13,2021-04-20,"Cranston, RI 02920",1.0,ZIP:02920
2009-08-29,2021-04-20,"Amherst, NH 03031",0.6657,ZIP:03031
2016-01-18,2021-04-20,"Auburn, NH 03032",1.0,ZIP:03032
1892-05-01,2021-04-20,"Brookline, NH 03033",1.0,ZIP:03033
2017-09-03,2021-04-18,"Chester, NH 03036",1.0,ZIP:03036
2009-07-18,2021-04-19,"Deerfield, NH 03037",1.0,ZIP:03037
1997-03-01,2021-04-12,"Derry, NH 03038",1.0,ZIP:03038
1963-12-01,2021-04-20,"Epping, NH 03042",1.0,ZIP:03042
2009-08-17,2021-04-20,"Dunbarton, NH 03046",0.9376,ZIP:03046
1938-09-01,2021-04-20,"Greenville, NH 03048",1.0,ZIP:03048
1950-09-06,2021-04-20,"Hudson, NH 03051",1.0,ZIP:03051
1944-10-23,2021-04-20,"Milford, NH 03055",1.0,ZIP:03055
2010-11-20,2021-04-20,"Mont Vernon, NH 03057",0.5362,ZIP:03057
2014-07-08,2021-04-20,"Nashua, NH 03062",1.0,ZIP:03062
1948-06-06,2021-04-20,"Manchester, NH 03103",1.0,ZIP:03103
1948-06-01,2021-04-15,"Manchester, NH 03109",1.0,ZIP:03109
2009-07-13,2021-04-20,"Ashland, NH 03217",1.0,ZIP:03217
2009-06-22,2021-04-17,"Belmont, NH 03220",0.9893,ZIP:03220
1938-09-01,2021-04-20,"Bradford, NH 03221",1.0,ZIP:03221
1938-09-01,2021-04-20,"Bristol, NH 03222",1.0,ZIP:03222
1942-08-01,2021-04-20,"Campton, NH 03223",1.0,ZIP:03223
1892-12-01,2021-04-20,"Canterbury, NH 03224",1.0,ZIP:03224
1948-06-01,2021-04-20,"Center Harbor, NH 03226",1.0,ZIP:03226
2009-07-07,2021-04-20,"Center Sandwich, NH 03227",1.0,ZIP:03227
2010-08-16,2021-04-20,"Contoocook, NH 03229",1.0,ZIP:03229
1944-09-01,2021-04-16,"Epsom, NH 03234",0.937,ZIP:03234
1892-07-01,2021-04-20,"Franklin, NH 03235",1.0,ZIP:03235
2009-07-06,2021-04-20,"Hill, NH 03243",0.9998,ZIP:03243
1926-10-01,2021-04-20,"Laconia, NH 03246",1.0,ZIP:03246
2009-07-26,2021-04-20,"Gilford, NH 03249",1.0,ZIP:03249
1921-01-01,2021-04-20,"Lincoln, NH 03251",1.0,ZIP:03251
2009-08-13,2021-04-20,"Meredith, NH 03253",0.985,ZIP:03253
1945-07-01,2021-04-20,"Newbury, NH 03255",0.9692,ZIP:03255
1944-11-01,2021-04-20,"New Hampton, NH 03256",1.0,ZIP:03256
1941-04-01,2021-04-20,"New London, NH 03257",1.0,ZIP:03257
1955-11-01,2021-04-20,"Chichester, NH 03258",1.0,ZIP:03258
1956-01-01,2021-04-20,"Northwood, NH 03261",1.0,ZIP:03261
2010-10-11,2021-04-20,"Pittsfield, NH 03263",0.9899,ZIP:03263
1887-10-01,2021-04-17,"Plymouth, NH 03264",1.0,ZIP:03264
2009-07-29,2021-04-20,"Salisbury, NH 03268",0.6174,ZIP:03268
1890-01-01,2021-04-20,"Sanbornton, NH 03269",1.0,ZIP:03269
2009-06-19,2021-04-20,"Tilton, NH 03276",0.9744,ZIP:03276
1944-11-01,2021-04-19,"Weare, NH 03281",1.0,ZIP:03281
1944-09-01,2021-04-16,"Wentworth, NH 03282",1.0,ZIP:03282
1921-01-01,2021-04-20,"Thornton, NH 03285",1.0,ZIP:03285
2020-07-07,2021-04-20,"Nottingham, NH 03290",1.0,ZIP:03290
1868-01-01,2021-04-20,"Concord, NH 03301",1.0,ZIP:03301
1948-06-01,2021-04-19,"Concord, NH 03303",1.0,ZIP:03303
2009-06-28,2021-04-20,"Bow, NH 03304",1.0,ZIP:03304
1893-01-01,2021-04-20,"Keene, NH 03431",1.0,ZIP:03431
2009-08-30,2021-04-20,"Swanzey, NH 03446",1.0,ZIP:03446
2014-05-01,2021-04-09,"Hancock, NH 03449",1.0,ZIP:03449
1995-05-24,2021-04-20,"Jaffrey, NH 03452",0.9989,ZIP:03452
1892-01-06,2021-04-16,"Peterborough, NH 03458",1.0,ZIP:03458
